=== Data Simulasi CES vs DES ===

Waktu (unit) | Suhu CES (°C) | Suhu DES (°C)
--------------------------------------------------
0.00 | 100.00 | 100.00
0.10 | 99.62 | 99.62
0.20 | 99.25 | 99.25
0.30 | 98.88 | 98.88
0.40 | 98.51 | 98.51
0.50 | 98.14 | 98.14
0.60 | 97.78 | 97.78
0.70 | 97.41 | 97.41
0.80 | 97.05 | 97.05
0.90 | 96.69 | 96.69
1.00 | 96.33 | 96.33
1.10 | 95.98 | 95.98
1.20 | 95.62 | 95.62
1.30 | 95.27 | 95.27
1.40 | 94.92 | 94.92
1.50 | 94.57 | 94.57
1.60 | 94.22 | 94.22
1.70 | 93.87 | 93.87
1.80 | 93.53 | 93.53
1.90 | 93.19 | 93.19
2.00 | 92.85 | 92.85
2.10 | 92.51 | 92.51
2.20 | 92.17 | 92.17
2.30 | 91.83 | 91.83
2.40 | 91.50 | 91.50
2.50 | 91.17 | 91.17
2.60 | 90.84 | 90.84
2.70 | 90.51 | 90.51
2.80 | 90.18 | 90.18
2.90 | 89.85 | 89.85
3.00 | 89.53 | 89.53
3.10 | 89.21 | 89.21
3.20 | 88.89 | 88.89
3.30 | 88.57 | 88.57
3.40 | 88.25 | 88.25
3.50 | 87.93 | 87.93
3.60 | 87.62 | 87.62
3.70 | 87.30 | 87.30
3.80 | 86.99 | 86.99
3.90 | 86.68 | 86.68
4.00 | 86.37 | 86.37
4.10 | 86.07 | 86.07
4.20 | 85.76 | 85.76
4.30 | 85.46 | 85.46
4.40 | 85.16 | 85.16
4.50 | 84.85 | 84.85
4.60 | 84.56 | 84.56
4.70 | 84.26 | 84.26
4.80 | 83.96 | 83.96
4.90 | 83.67 | 83.67
5.00 | 83.37 | 83.37
5.10 | 83.08 | 83.08
5.20 | 82.79 | 82.79
5.30 | 82.50 | 82.50
5.40 | 82.21 | 82.21
5.50 | 81.93 | 81.93
5.60 | 81.64 | 81.64
5.70 | 81.36 | 81.36
5.80 | 81.08 | 81.08
5.90 | 80.80 | 80.80
6.00 | 80.52 | 80.52
6.10 | 80.24 | 80.24
6.20 | 79.97 | 79.97
6.30 | 79.69 | 79.69
6.40 | 79.42 | 79.42
6.50 | 79.15 | 79.15
6.60 | 78.87 | 78.87
6.70 | 78.61 | 78.61
6.80 | 78.34 | 78.34
6.90 | 78.07 | 78.07
7.00 | 77.81 | 77.81
7.10 | 77.54 | 77.54
7.20 | 77.28 | 77.28
7.30 | 77.02 | 77.02
7.40 | 76.76 | 76.76
7.50 | 76.50 | 76.50
7.60 | 76.24 | 76.24
7.70 | 75.98 | 75.98
7.80 | 75.73 | 75.73
7.90 | 75.48 | 75.48
8.00 | 75.22 | 75.22
8.10 | 74.97 | 74.97
8.20 | 74.72 | 74.72
8.30 | 74.47 | 74.47
8.40 | 74.23 | 74.23
8.50 | 73.98 | 73.98
8.60 | 73.74 | 73.74
8.70 | 73.49 | 73.49
8.80 | 73.25 | 73.25
8.90 | 73.01 | 73.01
9.00 | 72.77 | 72.77
9.10 | 72.53 | 72.53
9.20 | 72.29 | 72.29
9.30 | 72.06 | 72.06
9.40 | 71.82 | 71.82
9.50 | 71.59 | 71.59
9.60 | 71.35 | 71.35
9.70 | 71.12 | 71.12
9.80 | 70.89 | 70.89
9.90 | 70.66 | 70.66
10.00 | 70.43 | 70.43
10.10 | 70.21 | 70.21
10.20 | 69.98 | 69.98
10.30 | 69.75 | 69.75
10.40 | 69.53 | 69.53
10.50 | 69.31 | 69.31
10.60 | 69.09 | 69.09
10.70 | 68.87 | 68.87
10.80 | 68.65 | 68.65
10.90 | 68.43 | 68.43
11.00 | 68.21 | 68.21
11.10 | 68.00 | 68.00
11.20 | 67.78 | 67.78
11.30 | 67.57 | 67.57
11.40 | 67.35 | 67.35
11.50 | 67.14 | 67.14
11.60 | 66.93 | 66.93
11.70 | 66.72 | 66.72
11.80 | 66.51 | 66.51
11.90 | 66.31 | 66.31
12.00 | 66.10 | 66.10
12.10 | 65.89 | 65.89
12.20 | 65.69 | 65.69
12.30 | 65.49 | 65.49
12.40 | 65.28 | 65.28
12.50 | 65.08 | 65.08
12.60 | 64.88 | 64.88
