=== Data Simulasi Laju Pendinginan ===

Waktu (unit) | Laju 0.05 | Laju 0.1 | Laju 0.15
----------------------------------------------------------------------
0.00 | 100.00 | 100.00 | 100.00
0.10 | 99.62 | 99.25 | 98.88
0.20 | 99.25 | 98.51 | 97.77
0.30 | 98.88 | 97.77 | 96.68
0.40 | 98.51 | 97.04 | 95.60
0.50 | 98.14 | 96.32 | 94.54
0.60 | 97.78 | 95.61 | 93.50
0.70 | 97.41 | 94.90 | 92.47
0.80 | 97.05 | 94.21 | 91.46
0.90 | 96.69 | 93.51 | 90.46
1.00 | 96.33 | 92.83 | 89.48
1.10 | 95.98 | 92.15 | 88.51
1.20 | 95.62 | 91.48 | 87.56
1.30 | 95.27 | 90.81 | 86.62
1.40 | 94.92 | 90.16 | 85.70
1.50 | 94.57 | 89.50 | 84.79
1.60 | 94.22 | 88.86 | 83.89
1.70 | 93.87 | 88.22 | 83.01
1.80 | 93.53 | 87.59 | 82.14
1.90 | 93.19 | 86.96 | 81.28
2.00 | 92.85 | 86.34 | 80.44
2.10 | 92.51 | 85.73 | 79.60
2.20 | 92.17 | 85.12 | 78.78
2.30 | 91.83 | 84.52 | 77.98
2.40 | 91.50 | 83.93 | 77.18
2.50 | 91.17 | 83.34 | 76.40
2.60 | 90.84 | 82.75 | 75.63
2.70 | 90.51 | 82.18 | 74.87
2.80 | 90.18 | 81.60 | 74.12
2.90 | 89.85 | 81.04 | 73.39
3.00 | 89.53 | 80.48 | 72.66
3.10 | 89.21 | 79.92 | 71.94
3.20 | 88.89 | 79.37 | 71.24
3.30 | 88.57 | 78.83 | 70.55
3.40 | 88.25 | 78.29 | 69.86
3.50 | 87.93 | 77.76 | 69.19
3.60 | 87.62 | 77.23 | 68.53
3.70 | 87.30 | 76.71 | 67.87
3.80 | 86.99 | 76.19 | 67.23
3.90 | 86.68 | 75.68 | 66.60
4.00 | 86.37 | 75.17 | 65.97
4.10 | 86.07 | 74.67 | 65.36
4.20 | 85.76 | 74.17 | 64.75
4.30 | 85.46 | 73.68 | 64.16
4.40 | 85.16 | 73.20 | 63.57
4.50 | 84.85 | 72.71 | 62.99
4.60 | 84.56 | 72.24 | 62.42
4.70 | 84.26 | 71.76 | 61.86
4.80 | 83.96 | 71.30 | 61.31
4.90 | 83.67 | 70.83 | 60.76
5.00 | 83.37 | 70.38 | 60.23
5.10 | 83.08 | 69.92 | 59.70
5.20 | 82.79 | 69.47 | 59.18
5.30 | 82.50 | 69.03 | 58.67
5.40 | 82.21 | 68.59 | 58.16
5.50 | 81.93 | 68.15 | 57.66
5.60 | 81.64 | 67.72 | 57.17
5.70 | 81.36 | 67.29 | 56.69
5.80 | 81.08 | 66.87 | 56.21
5.90 | 80.80 | 66.45 | 55.75
6.00 | 80.52 | 66.04 | 55.29
6.10 | 80.24 | 65.63 | 54.83
6.20 | 79.97 | 65.22 | 54.38
6.30 | 79.69 | 64.82 | 53.94
6.40 | 79.42 | 64.42 | 53.51
6.50 | 79.15 | 64.03 | 53.08
6.60 | 78.87 | 63.64 | 52.66
6.70 | 78.61 | 63.25 | 52.25
6.80 | 78.34 | 62.87 | 51.84
6.90 | 78.07 | 62.49 | 51.43
7.00 | 77.81 | 62.11 | 51.04
7.10 | 77.54 | 61.74 | 50.65
7.20 | 77.28 | 61.37 | 50.26
7.30 | 77.02 | 61.01 | 49.88
7.40 | 76.76 | 60.65 | 49.51
7.50 | 76.50 | 60.29 | 49.14
7.60 | 76.24 | 59.94 | 48.78
7.70 | 75.98 | 59.59 | 48.42
7.80 | 75.73 | 59.25 | 48.07
7.90 | 75.48 | 58.90 | 47.73
8.00 | 75.22 | 58.56 | 47.39
8.10 | 74.97 | 58.23 | 47.05
8.20 | 74.72 | 57.90 | 46.72
8.30 | 74.47 | 57.57 | 46.39
8.40 | 74.23 | 57.24 | 46.07
8.50 | 73.98 | 56.92 | 45.76
8.60 | 73.74 | 56.60 | 45.44
8.70 | 73.49 | 56.28 | 45.14
8.80 | 73.25 | 55.97 | 44.84
8.90 | 73.01 | 55.66 | 44.54
9.00 | 72.77 | 55.35 | 44.25
9.10 | 72.53 | 55.05 | 43.96
9.20 | 72.29 | 54.75 | 43.67
9.30 | 72.06 | 54.45 | 43.39
9.40 | 71.82 | 54.16 | 43.12
9.50 | 71.59 | 53.87 | 42.84
9.60 | 71.35 | 53.58 | 42.58
9.70 | 71.12 | 53.29 | 42.31
9.80 | 70.89 | 53.01 | 42.05
9.90 | 70.66 | 52.73 | 41.80
10.00 | 70.43 | 52.45 | 41.55
10.10 | 70.21 | 52.18 | 41.30
10.20 | 69.98 | 51.91 | 41.05
10.30 | 69.75 | 51.64 | 40.81
10.40 | 69.53 | 51.37 | 40.58
10.50 | 69.31 | 51.11 | 40.34
10.60 | 69.09 | 50.85 | 40.11
10.70 | 68.87 | 50.59 | 39.88
10.80 | 68.65 | 50.33 | 39.66
10.90 | 68.43 | 50.08 | 39.44
