=== Data Simulasi Pendinginan vs Pemanasan ===

Waktu (unit) | Pendinginan (°C) | Pemanasan (°C)
--------------------------------------------------
0.00 | 100.00 | 25.00
0.10 | 99.62 | 25.38
0.20 | 99.25 | 25.75
0.30 | 98.88 | 26.12
0.40 | 98.51 | 26.49
0.50 | 98.14 | 26.86
0.60 | 97.78 | 27.22
0.70 | 97.41 | 27.59
0.80 | 97.05 | 27.95
0.90 | 96.69 | 28.31
1.00 | 96.33 | 28.67
1.10 | 95.98 | 29.02
1.20 | 95.62 | 29.38
1.30 | 95.27 | 29.73
1.40 | 94.92 | 30.08
1.50 | 94.57 | 30.43
1.60 | 94.22 | 30.78
1.70 | 93.87 | 31.13
1.80 | 93.53 | 31.47
1.90 | 93.19 | 31.81
2.00 | 92.85 | 32.15
2.10 | 92.51 | 32.49
2.20 | 92.17 | 32.83
2.30 | 91.83 | 33.17
2.40 | 91.50 | 33.50
2.50 | 91.17 | 33.83
2.60 | 90.84 | 34.16
2.70 | 90.51 | 34.49
2.80 | 90.18 | 34.82
2.90 | 89.85 | 35.15
3.00 | 89.53 | 35.47
3.10 | 89.21 | 35.79
3.20 | 88.89 | 36.11
3.30 | 88.57 | 36.43
3.40 | 88.25 | 36.75
3.50 | 87.93 | 37.07
3.60 | 87.62 | 37.38
3.70 | 87.30 | 37.70
3.80 | 86.99 | 38.01
3.90 | 86.68 | 38.32
4.00 | 86.37 | 38.63
4.10 | 86.07 | 38.93
4.20 | 85.76 | 39.24
4.30 | 85.46 | 39.54
4.40 | 85.16 | 39.84
4.50 | 84.85 | 40.15
4.60 | 84.56 | 40.44
4.70 | 84.26 | 40.74
4.80 | 83.96 | 41.04
4.90 | 83.67 | 41.33
5.00 | 83.37 | 41.63
5.10 | 83.08 | 41.92
5.20 | 82.79 | 42.21
5.30 | 82.50 | 42.50
5.40 | 82.21 | 42.79
5.50 | 81.93 | 43.07
5.60 | 81.64 | 43.36
5.70 | 81.36 | 43.64
5.80 | 81.08 | 43.92
5.90 | 80.80 | 44.20
6.00 | 80.52 | 44.48
6.10 | 80.24 | 44.76
6.20 | 79.97 | 45.03
6.30 | 79.69 | 45.31
6.40 | 79.42 | 45.58
6.50 | 79.15 | 45.85
6.60 | 78.87 | 46.13
6.70 | 78.61 | 46.39
6.80 | 78.34 | 46.66
6.90 | 78.07 | 46.93
7.00 | 77.81 | 47.19
7.10 | 77.54 | 47.46
7.20 | 77.28 | 47.72
7.30 | 77.02 | 47.98
7.40 | 76.76 | 48.24
7.50 | 76.50 | 48.50
7.60 | 76.24 | 48.76
7.70 | 75.98 | 49.02
7.80 | 75.73 | 49.27
7.90 | 75.48 | 49.52
8.00 | 75.22 | 49.78
8.10 | 74.97 | 50.03
8.20 | 74.72 | 50.28
8.30 | 74.47 | 50.53
8.40 | 74.23 | 50.77
8.50 | 73.98 | 51.02
8.60 | 73.74 | 51.26
8.70 | 73.49 | 51.51
8.80 | 73.25 | 51.75
8.90 | 73.01 | 51.99
9.00 | 72.77 | 52.23
9.10 | 72.53 | 52.47
9.20 | 72.29 | 52.71
9.30 | 72.06 | 52.94
9.40 | 71.82 | 53.18
9.50 | 71.59 | 53.41
9.60 | 71.35 | 53.65
9.70 | 71.12 | 53.88
9.80 | 70.89 | 54.11
9.90 | 70.66 | 54.34
10.00 | 70.43 | 54.57
10.10 | 70.21 | 54.79
10.20 | 69.98 | 55.02
10.30 | 69.75 | 55.25
10.40 | 69.53 | 55.47
10.50 | 69.31 | 55.69
10.60 | 69.09 | 55.91
10.70 | 68.87 | 56.13
10.80 | 68.65 | 56.35
10.90 | 68.43 | 56.57
11.00 | 68.21 | 56.79
11.10 | 68.00 | 57.00
11.20 | 67.78 | 57.22
11.30 | 67.57 | 57.43
11.40 | 67.35 | 57.65
11.50 | 67.14 | 57.86
11.60 | 66.93 | 58.07
11.70 | 66.72 | 58.28
11.80 | 66.51 | 58.49
11.90 | 66.31 | 58.69
12.00 | 66.10 | 58.90
12.10 | 65.89 | 59.11
12.20 | 65.69 | 59.31
12.30 | 65.49 | 59.51
12.40 | 65.28 | 59.72
12.50 | 65.08 | 59.92
12.60 | 64.88 | 60.12
12.70 | 64.68 | 60.32
12.80 | 64.48 | 60.52
12.90 | 64.29 | 60.71
13.00 | 64.09 | 60.91
13.10 | 63.89 | 61.11
13.20 | 63.70 | 61.30
13.30 | 63.51 | 61.49
13.40 | 63.31 | 61.69
13.50 | 63.12 | 61.88
13.60 | 62.93 | 62.07
13.70 | 62.74 | 62.26
13.80 | 62.55 | 62.45
13.90 | 62.37 | 62.63
14.00 | 62.18 | 62.82
14.10 | 61.99 | 63.01
14.20 | 61.81 | 63.19
14.30 | 61.62 | 63.38
14.40 | 61.44 | 63.56
14.50 | 61.26 | 63.74
14.60 | 61.08 | 63.92
14.70 | 60.90 | 64.10
14.80 | 60.72 | 64.28
14.90 | 60.54 | 64.46
15.00 | 60.36 | 64.64
15.10 | 60.18 | 64.82
15.20 | 60.01 | 64.99
15.30 | 59.83 | 65.17
15.40 | 59.66 | 65.34
