=== Data Simulasi Cuaca ===

Waktu (unit) | Suhu Objek (°C) | Suhu Lingkungan (°C)
--------------------------------------------------
0.00 | 100.00 | -1.80
0.10 | 99.49 | -1.80
0.20 | 98.98 | -1.80
0.30 | 98.48 | -1.80
0.40 | 97.98 | -1.80
0.50 | 97.48 | -1.80
0.60 | 96.98 | -1.80
0.70 | 96.49 | -1.80
0.80 | 96.00 | -1.80
0.90 | 95.51 | -1.80
1.00 | 95.02 | -1.80
1.10 | 94.54 | -1.80
1.20 | 94.06 | -1.80
1.30 | 93.58 | -1.80
1.40 | 93.10 | -1.80
1.50 | 92.63 | -1.80
1.60 | 92.15 | -1.80
1.70 | 91.68 | -1.80
1.80 | 91.22 | -1.80
1.90 | 90.75 | -1.80
2.00 | 90.29 | -1.80
2.10 | 89.83 | -1.80
2.20 | 89.37 | -1.77
2.30 | 88.92 | -1.74
2.40 | 88.46 | -1.71
2.50 | 88.01 | -1.68
2.60 | 87.56 | -1.66
2.70 | 87.12 | -1.63
2.80 | 86.67 | -1.60
2.90 | 86.23 | -1.57
3.00 | 85.79 | -1.54
3.10 | 85.36 | -1.51
3.20 | 84.92 | -1.50
3.30 | 84.49 | -1.50
3.40 | 84.06 | -1.50
3.50 | 83.63 | -1.50
3.60 | 83.21 | -1.50
3.70 | 82.78 | -1.50
3.80 | 82.36 | -1.50
3.90 | 81.94 | -1.50
4.00 | 81.52 | -1.50
4.10 | 81.11 | -1.50
4.20 | 80.70 | -1.50
4.30 | 80.29 | -1.49
4.40 | 79.88 | -1.48
4.50 | 79.47 | -1.47
4.60 | 79.06 | -1.46
4.70 | 78.66 | -1.45
4.80 | 78.26 | -1.44
4.90 | 77.86 | -1.43
5.00 | 77.47 | -1.42
5.10 | 77.07 | -1.41
5.20 | 76.68 | -1.40
5.30 | 76.29 | -1.41
5.40 | 75.90 | -1.42
5.50 | 75.51 | -1.43
5.60 | 75.13 | -1.43
5.70 | 74.75 | -1.44
5.80 | 74.37 | -1.45
5.90 | 73.99 | -1.46
6.00 | 73.61 | -1.47
6.10 | 73.23 | -1.48
6.20 | 72.86 | -1.49
6.30 | 72.49 | -1.50
6.40 | 72.12 | -1.49
6.50 | 71.75 | -1.48
6.60 | 71.38 | -1.47
6.70 | 71.02 | -1.46
6.80 | 70.66 | -1.45
6.90 | 70.30 | -1.44
7.00 | 69.94 | -1.43
7.10 | 69.58 | -1.42
7.20 | 69.23 | -1.41
7.30 | 68.87 | -1.40
7.40 | 68.52 | -1.40
7.50 | 68.17 | -1.40
7.60 | 67.82 | -1.40
7.70 | 67.48 | -1.40
7.80 | 67.13 | -1.40
7.90 | 66.79 | -1.40
8.00 | 66.45 | -1.40
8.10 | 66.11 | -1.40
8.20 | 65.77 | -1.40
8.30 | 65.44 | -1.40
8.40 | 65.10 | -1.40
8.50 | 64.77 | -1.39
8.60 | 64.44 | -1.38
8.70 | 64.11 | -1.37
8.80 | 63.78 | -1.36
8.90 | 63.46 | -1.35
9.00 | 63.13 | -1.34
9.10 | 62.81 | -1.33
9.20 | 62.49 | -1.32
9.30 | 62.17 | -1.31
9.40 | 61.85 | -1.30
9.50 | 61.54 | -1.28
9.60 | 61.22 | -1.25
9.70 | 60.91 | -1.22
9.80 | 60.60 | -1.19
9.90 | 60.29 | -1.16
10.00 | 59.99 | -1.14
10.10 | 59.68 | -1.11
10.20 | 59.38 | -1.08
10.30 | 59.07 | -1.05
10.40 | 58.77 | -1.02
10.50 | 58.47 | -0.99
10.60 | 58.18 | -0.94
10.70 | 57.88 | -0.89
10.80 | 57.59 | -0.84
10.90 | 57.30 | -0.80
11.00 | 57.00 | -0.75
11.10 | 56.72 | -0.70
11.20 | 56.43 | -0.65
11.30 | 56.14 | -0.61
11.40 | 55.86 | -0.56
11.50 | 55.58 | -0.51
11.60 | 55.30 | -0.48
11.70 | 55.02 | -0.45
11.80 | 54.74 | -0.42
11.90 | 54.47 | -0.39
12.00 | 54.19 | -0.36
12.10 | 53.92 | -0.33
12.20 | 53.65 | -0.31
12.30 | 53.38 | -0.28
12.40 | 53.11 | -0.25
12.50 | 52.84 | -0.22
12.60 | 52.58 | -0.19
12.70 | 52.31 | -0.15
12.80 | 52.05 | -0.11
12.90 | 51.79 | -0.07
13.00 | 51.53 | -0.04
13.10 | 51.27 | 0.00
13.20 | 51.02 | 0.04
13.30 | 50.76 | 0.08
13.40 | 50.51 | 0.12
13.50 | 50.26 | 0.16
13.60 | 50.01 | 0.19
13.70 | 49.76 | 0.25
13.80 | 49.51 | 0.31
13.90 | 49.26 | 0.36
14.00 | 49.02 | 0.42
14.10 | 48.78 | 0.48
14.20 | 48.53 | 0.53
14.30 | 48.29 | 0.59
